Mean of PCD bin 0,Sigma of PCD bin 0,Prob of PCD bin 0,Peak of PCD bin 0,Mean of PCD bin 1,Sigma of PCD bin 1,Prob of PCD bin 1,Peak of PCD bin 1,Mean of PCD bin 2,Sigma of PCD bin 2,Prob of PCD bin 2,Peak of PCD bin 2,Mean of PCD bin 3,Sigma of PCD bin 3,Prob of PCD bin 3,Peak of PCD bin 3,Mean of PCD bin 4,Sigma of PCD bin 4,Prob of PCD bin 4,Peak of PCD bin 4,Mean of PCD bin 5,Sigma of PCD bin 5,Prob of PCD bin 5,Peak of PCD bin 5,Mean of PCD bin 6,Sigma of PCD bin 6,Prob of PCD bin 6,Peak of PCD bin 6,Mean of PCD bin 7,Sigma of PCD bin 7,Prob of PCD bin 7,Peak of PCD bin 7,Mean of PCD bin 8,Sigma of PCD bin 8,Prob of PCD bin 8,Peak of PCD bin 8,Mean of PCD bin 9,Sigma of PCD bin 9,Prob of PCD bin 9,Peak of PCD bin 9,Mean of PCD bin 10,Sigma of PCD bin 10,Prob of PCD bin 10,Peak of PCD bin 10,Mean of PCD bin 10,Sigma of PCD bin 11,Prob of PCD bin 11,Peak of PCD bin 11,Raga Class
94,34.5,0.0507971821,295.307368,195,67,0.0389321468,278.601546,219,73,0.0326288469,295.307368,180,77,0.1905821283,312.89319,155,84,0.1301446051,331.499154,202,100,0.0444938821,351.007112,158,117,0.0292918057,369.240487,182,124,0.0237300704,393.474139,123,59,0.1631442343,415.082396,127,60,0.2321097516,438.883987,117,22,0.0667408231,233.116055,120,1,0.0111234705,124.158839,0
68,3,0.0159099728,147.52272,135,2,0.0062087699,138.769951,143,2,0.0135816841,147.52272,166,63,0.1932479627,311.102275,143,70,0.1618160652,331.021537,159,71,0.0357004269,351.073003,131,96,0.0232828871,369.219481,166,114,0.0225067908,393.486793,120,47,0.1136980986,402.514288,112,24,0.345362825,220.564342,112,1,0.0651920838,116.815795,120,2,0.0034924331,124.173492,0
111,31.5,0.0135030864,294.856447,215,63,0.0088734568,274.221258,213,71,0.0119598765,294.856447,174,65,0.2932098765,312.802964,159,66,0.1882716049,330.715442,211,98,0.0374228395,350.493511,99,48,0.0108024691,352.682217,94,0,0.0027006173,95.51317,140,49,0.0771604938,204.602455,109,16,0.318287037,221.123295,130,41,0.0412808642,234.216859,211,51,0.0015432099,247.385931,0
114,32,0.0534156977,294.720422,233,60,0.0519622093,278.738165,245,64,0.027252907,294.720422,166,60,0.2678052326,311.404056,167,73,0.2154796512,330.570393,295,83,0.0138081395,348.053554,91,0,0.0036337209,92.004418,105,28,0.003997093,197.117022,135,48,0.0901162791,208.759331,109,19,0.2390988372,221.211132,174,56,0.0356104651,234.032659,202,56,0.0127180233,247.503761,0
108,33.5,0.0897342556,295.257896,218,65,0.1088460138,278.751773,238,67,0.0323989807,295.257896,182,71,0.1314160903,312.198357,173,72,0.1605387696,331.031322,154,84,0.0247542774,346.400731,107,66,0.0374954496,364.83744,153,107,0.0178376411,393.502418,116,58,0.1248634874,416.681272,116,43,0.2355296687,430.091014,152,54,0.0524208227,234.281169,176,59,0.0229341099,247.557775,0
105,33.5,0.0545617174,295.185931,211,66,0.0683363148,278.602512,211,71,0.0211091234,295.185931,182,67,0.1051878354,312.156944,154,67,0.1441860465,331.102652,121,68,0.0415026834,346.436033,98,47,0.0747763864,364.854033,144,102,0.0200357782,393.519178,114,59,0.1123434705,416.637448,113,35,0.3320214669,430.19288,147,51,0.0361359571,234.201414,162,57,0.0175313059,247.166135,0
106,35,0.0558983666,295.326609,195,67,0.0591651543,278.700004,256,60,0.033030853,295.326609,224,78,0.1317604356,312.751491,182,84,0.1782214156,323.114688,198,103,0.0693284936,341.004492,89,0,0.0591651543,92.891489,95,1,0.0065335753,98.092139,107,22,0.0217785844,207.511788,112,25,0.3495462795,221.254784,165,56,0.04646098,233.814831,197,58,0.0148820327,248.196767,0
101,35,0.0753373313,295.341537,190,66,0.0922038981,278.122421,273,42,0.0273613193,295.341537,246,79,0.121814093,312.688087,227,85,0.0929535232,331.506497,268,89,0.0723388306,345.139533,107,63,0.0266116942,368.435075,316,110,0.0026236882,393.987492,160,58,0.0487256372,399.486547,128,43,0.3736881559,221.210124,153,54,0.0775862069,233.993622,177,60,0.0198650675,248.211226,0
121,30,0.1024866785,295.311826,221,65,0.1261101243,278.716662,285,22,0.058259325,295.311826,296,35,0.193250444,312.874225,245,89,0.269982238,331.484915,316,65,0.0515097691,345.920204,92,17,0.0493783304,184.694063,0,0,0,197.869761,200,2,0.0024866785,204.648012,107,13,0.2046181172,220.587073,224,1,0.0181172291,231.868751,240,4,0.0028419183,248.016078,0
95,34.5,0.0415742794,295.319913,186,66,0.0506282336,278.537724,223,73,0.0166297118,295.319913,241,80,0.0683665928,312.879456,186,101,0.0705838877,331.467898,262,102,0.0561714708,351.119026,143,101,0.0347376201,372.022218,233,117,0.019586105,393.84981,169,87,0.1577974871,416.12612,135,66,0.389135255,438.200287,133,55,0.0927568367,454.433028,131,35,0.0203252033,246.89539,0
114,32,0.0257367387,294.901851,216,65,0.0231827112,278.658516,229,73,0.0172888016,294.901851,234,80,0.1076620825,312.752468,137,89,0.1190569745,331.483036,224,110,0.0408644401,351.183875,142,101,0.0349705305,372.081209,205,125,0.0263261297,392.497152,144,80,0.2141453831,416.109896,124,66,0.3155206287,438.141255,124,52,0.073870334,454.540674,127,28,0.0137524558,246.376744,0
129,16.5,0.021021021,295.203705,267,5,0.0055770056,278.528529,270,50,0.009009009,295.203705,259,73,0.2380952381,312.821285,103,64,0.0750750751,329.927321,259,118,0.0081510082,347.507194,105,62,0.015015015,364.060704,101,19,0.0111540112,197.036028,121,40,0.1891891892,205.020888,109,16,0.3835263835,218.753138,137,46,0.027027027,226.206734,120,1,0.0072930073,123.564888,0
127,22.5,0.0453228477,295.27255,253,43,0.0455298013,277.93577,280,34,0.020281457,295.27255,273,66,0.2148178808,312.816079,212,113,0.1187913907,331.352667,302,83,0.0124172185,344.334578,123,77,0.0099337748,364.251699,179,33,0.008692053,197.103792,133,47,0.1258278146,208.198277,117,33,0.3600993377,221.228914,221,22,0.0426324503,233.927867,201,55,0.0128311258,248.136527,0
